,date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type
0,2018-01-01 00:15:00,3.17,2.95,0.0,0.0,73.21,900,Weekday,Monday,Light_Load
1,2018-01-01 00:30:00,4.0,4.46,0.0,0.0,66.77,1800,Weekday,Monday,Light_Load
2,2018-01-01 00:45:00,3.24,3.28,0.0,0.0,70.28,2700,Weekday,Monday,Light_Load
3,2018-01-01 01:00:00,3.31,3.56,0.0,0.0,68.09,3600,Weekday,Monday,Light_Load
4,2018-01-01 01:15:00,3.82,4.5,0.0,0.0,64.72,4500,Weekday,Monday,Light_Load
5,2018-01-01 01:30:00,3.28,3.56,0.0,0.0,67.76,5400,Weekday,Monday,Light_Load
6,2018-01-01 01:45:00,3.6,4.14,0.0,0.0,65.62,6300,Weekday,Monday,Light_Load
7,2018-01-01 02:00:00,3.6,4.28,0.0,0.0,64.37,7200,Weekday,Monday,Light_Load
8,2018-01-01 02:15:00,3.28,3.64,0.0,0.0,66.94,8100,Weekday,Monday,Light_Load
9,2018-01-01 02:30:00,3.78,4.72,0.0,0.0,62.51,9000,Weekday,Monday,Light_Load
10,2018-01-01 02:45:00,3.46,4.03,0.0,0.0,65.14,9900,Weekday,Monday,Light_Load
11,2018-01-01 03:00:00,3.24,3.64,0.0,0.0,66.49,10800,Weekday,Monday,Light_Load
12,2018-01-01 03:15:00,3.96,4.97,0.0,0.0,62.32,11700,Weekday,Monday,Light_Load
13,2018-01-01 03:30:00,3.31,3.74,0.0,0.0,66.27,12600,Weekday,Monday,Light_Load
14,2018-01-01 03:45:00,3.31,3.85,0.0,0.0,65.19,13500,Weekday,Monday,Light_Load
15,2018-01-01 04:00:00,3.89,5.0,0.0,0.0,61.4,14400,Weekday,Monday,Light_Load
16,2018-01-01 04:15:00,3.28,3.82,0.0,0.0,65.14,15300,Weekday,Monday,Light_Load
17,2018-01-01 04:30:00,3.56,4.28,0.0,0.0,63.95,16200,Weekday,Monday,Light_Load
18,2018-01-01 04:45:00,3.74,4.54,0.0,0.0,63.58,17100,Weekday,Monday,Light_Load
19,2018-01-01 05:00:00,3.31,3.6,0.0,0.0,67.68,18000,Weekday,Monday,Light_Load
20,2018-01-01 05:15:00,3.56,4.07,0.0,0.0,65.84,18900,Weekday,Monday,Light_Load
21,2018-01-01 05:30:00,3.56,4.1,0.0,0.0,65.56,19800,Weekday,Monday,Light_Load
22,2018-01-01 05:45:00,3.28,3.49,0.0,0.0,68.48,20700,Weekday,Monday,Light_Load
23,2018-01-01 06:00:00,3.78,4.32,0.0,0.0,65.85,21600,Weekday,Monday,Light_Load
24,2018-01-01 06:15:00,3.35,3.64,0.0,0.0,67.72,22500,Weekday,Monday,Light_Load
25,2018-01-01 06:30:00,3.24,3.35,0.0,0.0,69.52,23400,Weekday,Monday,Light_Load
26,2018-01-01 06:45:00,3.89,4.46,0.0,0.0,65.73,24300,Weekday,Monday,Light_Load
27,2018-01-01 07:00:00,3.31,3.53,0.0,0.0,68.4,25200,Weekday,Monday,Light_Load
28,2018-01-01 07:15:00,3.28,3.49,0.0,0.0,68.48,26100,Weekday,Monday,Light_Load
29,2018-01-01 07:30:00,3.85,4.75,0.0,0.0,62.97,27000,Weekday,Monday,Light_Load
30,2018-01-01 07:45:00,3.2,3.6,0.0,0.0,66.44,27900,Weekday,Monday,Light_Load
31,2018-01-01 08:00:00,3.31,3.78,0.0,0.0,65.88,28800,Weekday,Monday,Light_Load
32,2018-01-01 08:15:00,3.78,4.75,0.0,0.0,62.27,29700,Weekday,Monday,Light_Load
33,2018-01-01 08:30:00,3.28,3.74,0.0,0.0,65.94,30600,Weekday,Monday,Light_Load
34,2018-01-01 08:45:00,3.49,4.46,0.18,0.0,61.63,31500,Weekday,Monday,Light_Load
35,2018-01-01 09:00:00,3.89,0.0,15.66,0.0,100.0,32400,Weekday,Monday,Light_Load
36,2018-01-01 09:15:00,3.6,0.0,16.96,0.0,100.0,33300,Weekday,Monday,Light_Load
37,2018-01-01 09:30:00,4.03,0.0,21.28,0.0,100.0,34200,Weekday,Monday,Light_Load
38,2018-01-01 09:45:00,3.92,0.0,19.22,0.0,100.0,35100,Weekday,Monday,Light_Load
39,2018-01-01 10:00:00,3.64,0.0,16.88,0.0,100.0,36000,Weekday,Monday,Light_Load
40,2018-01-01 10:15:00,4.07,0.0,22.32,0.0,100.0,36900,Weekday,Monday,Light_Load
41,2018-01-01 10:30:00,3.71,0.0,18.0,0.0,100.0,37800,Weekday,Monday,Light_Load
42,2018-01-01 10:45:00,3.6,0.0,16.92,0.0,100.0,38700,Weekday,Monday,Light_Load
43,2018-01-01 11:00:00,4.21,0.0,23.4,0.0,100.0,39600,Weekday,Monday,Light_Load
44,2018-01-01 11:15:00,3.49,0.0,5.65,0.0,100.0,40500,Weekday,Monday,Light_Load
45,2018-01-01 11:30:00,3.46,0.0,4.82,0.0,100.0,41400,Weekday,Monday,Light_Load
46,2018-01-01 11:45:00,4.0,0.0,6.7,0.0,100.0,42300,Weekday,Monday,Light_Load
47,2018-01-01 12:00:00,3.49,0.0,4.57,0.0,100.0,43200,Weekday,Monday,Light_Load
48,2018-01-01 12:15:00,3.6,0.0,12.89,0.0,100.0,44100,Weekday,Monday,Light_Load
49,2018-01-01 12:30:00,4.25,0.0,23.15,0.0,100.0,45000,Weekday,Monday,Light_Load
50,2018-01-01 12:45:00,3.67,0.0,16.67,0.0,100.0,45900,Weekday,Monday,Light_Load
51,2018-01-01 13:00:00,3.67,0.0,16.63,0.0,100.0,46800,Weekday,Monday,Light_Load
52,2018-01-01 13:15:00,4.25,0.0,23.33,0.0,100.0,47700,Weekday,Monday,Light_Load
53,2018-01-01 13:30:00,3.64,0.0,16.74,0.0,100.0,48600,Weekday,Monday,Light_Load
54,2018-01-01 13:45:00,3.67,0.0,16.99,0.0,100.0,49500,Weekday,Monday,Light_Load
55,2018-01-01 14:00:00,4.28,0.0,23.4,0.0,100.0,50400,Weekday,Monday,Light_Load
56,2018-01-01 14:15:00,3.64,0.0,16.67,0.0,100.0,51300,Weekday,Monday,Light_Load
57,2018-01-01 14:30:00,3.78,0.0,18.25,0.0,100.0,52200,Weekday,Monday,Light_Load
